"age","year","Sex","Never","Current","Ex","init","cess","check"
45,2020,"Female",95.5796628791097,3.17962860945931,1.24070851143101,0.00151913631616631,0.00901881806130601,100
45,2021,"Male",56.0193352097952,33.7184703574941,10.2621944327107,0.0146209912164884,0.00707512571402632,100
45,2021,"Female",95.7077679132159,3.10198445432746,1.19024763245662,0.00156130324902609,0.00902562618941065,100
45,2022,"Male",54.5225825823561,34.8172009686022,10.6602164490417,0.0152412326729301,0.00708010444938722,100
45,2022,"Female",95.8386629493559,3.02412462108293,1.13721242956123,0.0016035699184064,0.00903203081109015,100
45,2023,"Male",53.0065686934392,35.9225141993094,11.0709171072515,0.0158825449972633,0.00708471229843516,100
45,2023,"Female",95.972556329134,2.94586795260504,1.08157571826091,0.00164593698119751,0.00903806029805142,100
46,2018,"Male",60.6516,30.268,9.0804,0.0127451740177992,0.00706096208315711,100
46,2018,"Female",95.1217,3.4845,1.3938,0.00149653372206798,0.00901883828832269,100
46,2019,"Male",59.5709786041013,31.0712469555026,9.35777444039607,0.0133003332756279,0.00706726685425419,100
46,2019,"Female",95.1901895891097,3.44575680799921,1.36405360289111,0.00154040674554347,0.00902657443684957,100
46,2020,"Male",58.1238271161124,32.1496331757552,9.7265397081324,0.0138732470175195,0.00707313171468297,100
46,2020,"Female",95.3091337761968,3.37287073204326,1.31799549175996,0.00158438869452503,0.00903383891594276,100
46,2021,"Male",56.6549863445002,33.2374825185682,10.1075311369316,0.014464787716319,0.00707858362144943,100
46,2021,"Female",95.4304340409157,3.30015930840315,1.26940665068114,0.00162848036844549,0.00904066658443915,100
46,2022,"Male",55.1655314876799,34.3335437876048,10.5009247247153,0.0150758852756908,0.0070836465370066,100
46,2022,"Female",95.5542938156325,3.22744133274391,1.21826485162363,0.00167268253266866,0.00904708891180724,100
46,2023,"Male",53.6566252111248,35.4364884879341,10.9068863009411,0.0157075319269404,0.00708834175228628,100
46,2023,"Female",95.680918549779,3.15453679998563,1.1645446502354,0.00171699592304021,0.00905313438061054,100
47,2018,"Male",60.9207,30.061,9.0183,0.0126136040854005,0.0070641846889948,100
47,2018,"Female",94.9124,3.634,1.4536,0.00155796856029746,0.00903381405496487,100
47,2019,"Male",59.8449135062999,30.8607744605555,9.29431203314457,0.0131609879043183,0.00707056519674246,100
47,2019,"Female",94.9751738916724,3.59957300970236,1.4252530986252,0.00160374505699613,0.0090415737939071,100
